Feature Count,Features,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix
17,"Dport, igmp, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, Dur, Sport, udp, icmp, DstAddr, rtcp, Dir, Label",2225.20959,47.28531,32.67449,1.24396,1.0000,1.0000,1.0000,1.0000,[[6148283 22] [ 138 293188]],1.0000,1.0000,1.0000,1.0000,[[263264 3] [ 0 29943]],1.0000,1.0000,1.0000,1.0000,[[6148283 21 1] [ 137 263243 2] [ 1 0 29943]]
18,"Dport, igmp, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, Dur, Sport, udp, icmp, DstAddr, ipx/spx, rtcp, Dir, Label",3568.19875,56.74831,56.57935,1.40004,1.0000,1.0000,1.0000,1.0000,[[6148289 16] [ 118 293208]],1.0000,1.0000,1.0000,1.0000,[[263279 3] [ 0 29942]],1.0000,1.0000,1.0000,1.0000,[[6148289 15 1] [ 116 263264 2] [ 2 0 29942]]
19,"Dport, igmp, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, udp, icmp, DstAddr, ipx/spx, rtcp, Dir, Label",2823.56209,49.48161,30.67590,1.21937,1.0000,1.0000,1.0000,1.0000,[[6148290 15] [ 131 293195]],1.0000,1.0000,1.0000,1.0000,[[263264 3] [ 0 29943]],1.0000,1.0000,1.0000,1.0000,[[6148290 14 1] [ 130 263250 2] [ 1 0 29943]]
20,"Dport, igmp, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, udp, icmp, DstAddr, ipx/spx, arp, rtcp, Dir, Label",2083.25163,50.93619,28.11428,1.22655,1.0000,1.0000,1.0000,1.0000,[[6148291 14] [ 142 293184]],1.0000,1.0000,1.0000,1.0000,[[263254 3] [ 0 29941]],1.0000,1.0000,1.0000,1.0000,[[6148291 13 1] [ 139 263241 2] [ 3 0 29941]]
21,"Dport, igmp, SrcBytes, SrcAddr, pim, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, udp, icmp, DstAddr, ipx/spx, arp, rtcp, Dir, Label",1922.40274,57.96000,53.70621,1.54572,1.0000,1.0000,1.0000,1.0000,[[6148288 17] [ 158 293168]],1.0000,1.0000,1.0000,1.0000,[[263241 3] [ 0 29941]],1.0000,1.0000,1.0000,1.0000,[[6148288 16 1] [ 155 263225 2] [ 3 0 29941]]
22,"Dport, igmp, SrcBytes, SrcAddr, pim, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, udp, icmp, DstAddr, ipx/spx, arp, rtcp, Dir, Label, rarp",1889.34739,50.02448,27.36113,1.28236,1.0000,1.0000,1.0000,1.0000,[[6148286 19] [ 158 293168]],1.0000,1.0000,1.0000,1.0000,[[263240 4] [ 0 29943]],1.0000,1.0000,1.0000,1.0000,[[6148286 18 1] [ 157 263222 3] [ 1 0 29943]]
23,"Dport, igmp, SrcBytes, SrcAddr, pim, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp",1902.83231,51.92658,27.18244,1.27934,1.0000,1.0000,1.0000,1.0000,[[6148285 20] [ 154 293172]],1.0000,1.0000,1.0000,1.0000,[[263246 3] [ 0 29943]],1.0000,1.0000,1.0000,1.0000,[[6148285 19 1] [ 153 263227 2] [ 1 0 29943]]
24,"Dport, igmp, SrcBytes, SrcAddr, pim, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp",1842.95481,51.19977,27.38700,1.30635,1.0000,1.0000,1.0000,1.0000,[[6148278 27] [ 189 293137]],1.0000,1.0000,1.0000,1.0000,[[263219 3] [ 0 29942]],1.0000,1.0000,1.0000,1.0000,[[6148278 26 1] [ 187 263193 2] [ 2 0 29942]]
25,"Dport, igmp, SrcBytes, SrcAddr, pim, TotPkts, tcp, rtp, TotBytes, State, llc, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp",1821.22253,51.97542,25.98286,1.29424,1.0000,1.0000,1.0000,1.0000,[[6148277 28] [ 193 293133]],1.0000,1.0000,1.0000,1.0000,[[263215 4] [ 0 29942]],1.0000,1.0000,1.0000,1.0000,[[6148277 27 1] [ 191 263188 3] [ 2 0 29942]]
26,"Dport, igmp, SrcBytes, SrcAddr, gre, pim, TotPkts, tcp, rtp, TotBytes, State, llc, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp",2026.74795,50.27660,27.57519,1.25682,1.0000,1.0000,1.0000,1.0000,[[6148284 21] [ 158 293168]],1.0000,1.0000,1.0000,1.0000,[[263246 3] [ 0 29940]],1.0000,1.0000,1.0000,1.0000,[[6148284 20 1] [ 154 263226 2] [ 4 0 29940]]
27,"Dport, igmp, SrcBytes, SrcAddr, unas, gre, pim, TotPkts, tcp, rtp, TotBytes, State, llc, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp",1957.39977,50.24001,28.32078,1.26418,1.0000,1.0000,1.0000,1.0000,[[6148287 18] [ 132 293194]],1.0000,1.0000,1.0000,1.0000,[[263267 3] [ 0 29942]],1.0000,1.0000,1.0000,1.0000,[[6148287 17 1] [ 130 263250 2] [ 2 0 29942]]
28,"Dport, igmp, SrcBytes, SrcAddr, unas, gre, pim, TotPkts, tcp, rtp, TotBytes, State, llc, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp, udt",1953.90501,52.06688,26.84086,1.25628,1.0000,1.0000,1.0000,1.0000,[[6148285 20] [ 183 293143]],1.0000,1.0000,1.0000,1.0000,[[263218 3] [ 0 29942]],1.0000,1.0000,1.0000,1.0000,[[6148285 19 1] [ 181 263199 2] [ 2 0 29942]]
29,"Dport, igmp, SrcBytes, SrcAddr, ipnip, unas, gre, pim, TotPkts, tcp, rtp, TotBytes, State, llc, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp, udt",1908.67575,51.11656,26.78951,1.26666,1.0000,1.0000,1.0000,1.0000,[[6148277 28] [ 188 293138]],1.0000,1.0000,1.0000,1.0000,[[263220 3] [ 0 29943]],1.0000,1.0000,1.0000,1.0000,[[6148277 27 1] [ 187 263193 2] [ 1 0 29943]]
30,"Dport, igmp, SrcBytes, SrcAddr, ipnip, unas, gre, pim, TotPkts, tcp, rtp, TotBytes, State, llc, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, rsvp, esp, rtcp, Dir, Label, rarp, udt",1915.04383,52.13923,27.02287,1.26527,1.0000,1.0000,1.0000,1.0000,[[6148284 21] [ 195 293131]],1.0000,1.0000,1.0000,1.0000,[[263206 3] [ 0 29943]],1.0000,1.0000,1.0000,1.0000,[[6148284 20 1] [ 194 263186 2] [ 1 0 29943]]
