Feature Count,Features,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix
17,"TotBytes, Dur, State, udp, SrcBytes, DstAddr, icmp, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir, igmp, rtcp",3964.98516,67.71634,72.54381,1.71447,0.9999,0.9999,0.9999,0.9999,[[6148254 51] [ 395 292931]],1.0000,1.0000,1.0000,1.0000,[[263043 13] [ 1 29925]],0.9999,0.9999,0.9999,0.9999,[[6148254 39 12] [ 377 263004 1] [ 18 1 29925]]
18,"TotBytes, Dur, State, udp, SrcBytes, DstAddr, icmp, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir, igmp, rtcp, ipx/spx",3764.90865,69.12225,68.16907,1.77743,0.9999,0.9999,0.9999,0.9999,[[6148262 43] [ 413 292913]],1.0000,1.0000,1.0000,1.0000,[[263021 11] [ 2 29922]],0.9999,0.9999,0.9999,0.9999,[[6148262 34 9] [ 393 262987 2] [ 20 2 29922]]
19,"TotBytes, Dur, State, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir, igmp, rtcp, ipx/spx",3676.31473,69.68380,67.28902,1.72566,0.9999,0.9999,0.9999,0.9999,[[6148255 50] [ 460 292866]],1.0000,1.0000,1.0000,1.0000,[[262979 12] [ 2 29923]],0.9999,0.9999,0.9999,0.9999,[[6148255 40 10] [ 441 262939 2] [ 19 2 29923]]
20,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir, igmp, rtcp, ipx/spx",3593.40302,71.77711,65.71450,1.72922,0.9999,0.9999,0.9999,0.9999,[[6148249 56] [ 470 292856]],1.0000,1.0000,1.0000,1.0000,[[262974 11] [ 1 29926]],0.9999,0.9999,0.9999,0.9999,[[6148249 46 10] [ 453 262928 1] [ 17 1 29926]]
21,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, Sport, rtp, pim, TotPkts, Label, Dir, igmp, rtcp, ipx/spx",3461.09684,72.06860,62.37910,1.74984,0.9999,0.9999,0.9999,0.9999,[[6148248 57] [ 506 292820]],0.9999,0.9999,0.9999,0.9999,[[262939 13] [ 2 29923]],0.9999,0.9999,0.9999,0.9999,[[6148248 46 11] [ 487 262893 2] [ 19 2 29923]]
22,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, Sport, rtp, pim, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp",3239.40721,72.16941,60.96201,1.72227,0.9999,0.9999,0.9999,0.9999,[[6148250 55] [ 549 292777]],1.0000,1.0000,1.0000,1.0000,[[262899 12] [ 2 29919]],0.9999,0.9999,0.9999,0.9999,[[6148250 45 10] [ 526 262854 2] [ 23 2 29919]]
23,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, rtp, pim, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp",1880.98786,55.12322,30.18212,1.32393,0.9999,0.9999,0.9999,0.9999,[[6148260 45] [ 551 292775]],1.0000,1.0000,1.0000,1.0000,[[262885 11] [ 2 29922]],0.9999,0.9999,0.9999,0.9999,[[6148260 35 10] [ 531 262850 1] [ 20 2 29922]]
24,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, ipv6, rtp, pim, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp",1875.34041,55.65528,30.04682,1.33708,0.9999,0.9999,0.9999,0.9999,[[6148247 58] [ 555 292771]],1.0000,1.0000,1.0000,1.0000,[[262892 12] [ 2 29923]],0.9999,0.9999,0.9999,0.9999,[[6148247 48 10] [ 536 262844 2] [ 19 2 29923]]
25,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, llc, ipv6, rtp, pim, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp",1804.11898,55.87042,29.23936,1.36214,0.9999,0.9999,0.9999,0.9999,[[6148258 47] [ 576 292750]],1.0000,1.0000,1.0000,1.0000,[[262863 11] [ 3 29920]],0.9999,0.9999,0.9999,0.9999,[[6148258 38 9] [ 555 262825 2] [ 21 3 29920]]
26,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, llc, ipv6, rtp, pim, gre, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp",2045.32635,53.86386,32.70717,1.31191,0.9999,0.9999,0.9999,0.9999,[[6148255 50] [ 504 292822]],0.9999,0.9999,0.9999,0.9999,[[262934 14] [ 1 29923]],0.9999,0.9999,0.9999,0.9999,[[6148255 38 12] [ 484 262896 2] [ 20 1 29923]]
27,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, llc, ipv6, rtp, pim, gre, unas, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp",2016.46768,55.42713,31.72145,1.33696,0.9999,0.9999,0.9999,0.9999,[[6148245 60] [ 555 292771]],1.0000,1.0000,1.0000,1.0000,[[262898 11] [ 1 29921]],0.9999,0.9999,0.9999,0.9999,[[6148245 50 10] [ 533 262848 1] [ 22 1 29921]]
28,"TotBytes, Dur, udt, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, llc, ipv6, rtp, pim, gre, unas, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp",1982.55623,55.23200,31.53604,1.31117,0.9999,0.9999,0.9999,0.9999,[[6148257 48] [ 547 292779]],1.0000,1.0000,1.0000,1.0000,[[262894 11] [ 1 29921]],0.9999,0.9999,0.9999,0.9999,[[6148257 39 9] [ 525 262855 2] [ 22 1 29921]]
29,"TotBytes, Dur, udt, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, llc, ipv6, rtp, pim, gre, unas, TotPkts, Label, Dir, ipnip, igmp, rtcp, ipx/spx, rarp",1938.33027,55.74388,31.04540,1.32873,0.9999,0.9999,0.9999,0.9999,[[6148248 57] [ 587 292739]],0.9999,0.9999,0.9999,0.9999,[[262860 13] [ 2 29921]],0.9999,0.9999,0.9999,0.9999,[[6148248 46 11] [ 566 262814 2] [ 21 2 29921]]
30,"TotBytes, Dur, udt, rsvp, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, llc, ipv6, rtp, pim, gre, unas, TotPkts, Label, Dir, ipnip, igmp, rtcp, ipx/spx, rarp",1910.23211,56.39606,31.47577,1.36680,0.9999,0.9999,0.9999,0.9999,[[6148255 50] [ 586 292740]],1.0000,1.0000,1.0000,1.0000,[[262856 11] [ 2 29921]],0.9999,0.9999,0.9999,0.9999,[[6148255 40 10] [ 565 262816 1] [ 21 2 29921]]
