Stage 1 Model,Stage 2 Model,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix,WINNER_S1_Accuracy,WINNER_S1_Precision,WINNER_S1_Recall,WINNER_S1_F1_Score,WINNER_S2_Accuracy,WINNER_S2_Precision,WINNER_S2_Recall,WINNER_S2_F1_Score,WINNER_Combined_Accuracy,WINNER_Combined_Precision,WINNER_Combined_Recall,WINNER_Combined_F1_Score,WINNER_Stage_1_Time_(s),WINNER_Stage_2_Time_(s)
KNN (k=5),Decision Tree (Gini),81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],1.38174,0.9996,0.9996,0.9996,0.9996,[[266638 127] [ 0 29256]],0.9965,0.9966,0.9965,0.9965,[[6135797 12383 125] [ 9125 254255 2] [ 688 0 29256]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win
KNN (k=5),Gradient Boosting,81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],68.32909,0.9998,0.9998,0.9998,0.9998,[[266708 57] [ 4 29252]],0.9965,0.9966,0.9965,0.9965,[[6135797 12456 52] [ 9125 254252 5] [ 688 4 29252]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win
KNN (k=5),KNN (k=5),81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],2.21877,0.9946,0.9949,0.9946,0.9947,[[265184 1581] [ 3 29253]],0.9965,0.9966,0.9965,0.9965,[[6135797 10928 1580] [ 9125 254256 1] [ 688 3 29253]],Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
KNN (k=5),Logistic Regression,81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],4.44983,0.9205,0.9134,0.9205,0.9159,[[258328 8437] [ 15085 14171]],0.993,0.9927,0.993,0.9928,[[6135797 11759 749] [ 9125 246569 7688] [ 688 15085 14171]],Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
KNN (k=5),Naive Bayes,81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],0.14937,0.3433,0.9083,0.3433,0.4085,[[ 72816 193949] [ 460 28796]],0.968,0.9931,0.968,0.971,[[6135797 2006 10502] [ 9125 70810 183447] [ 688 460 28796]],Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
KNN (k=5),Random Forest (Gini),81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],27.34462,0.9998,0.9998,0.9998,0.9998,[[266698 67] [ 0 29256]],0.9965,0.9966,0.9965,0.9965,[[6135797 12441 67] [ 9125 254257 0] [ 688 0 29256]],Local Win,Local Win,Local Win,Local Win,Draw,Draw,Draw,Draw,Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win
Logistic Regression,Decision Tree (Gini),140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],2.50948,0.9939,0.9964,0.9939,0.9947,[[80846 500] [ 0 706]],0.951,0.9324,0.951,0.9375,[[6096087 51718 500] [ 234254 29128 0] [ 29238 0 706]],Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
Logistic Regression,Gradient Boosting,140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],123.04724,0.9964,0.9974,0.9964,0.9967,[[81047 299] [ 0 706]],0.951,0.9329,0.951,0.9375,[[6096087 51920 298] [ 234254 29127 1] [ 29238 0 706]],Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
Logistic Regression,KNN (k=5),140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],4.28252,0.9532,0.9927,0.9532,0.9698,[[77508 3838] [ 0 706]],0.951,0.931,0.951,0.9375,[[6096087 48383 3835] [ 234254 29125 3] [ 29238 0 706]],Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win,GitHub Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
Logistic Regression,Logistic Regression,140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],5.64898,0.8963,0.9838,0.8963,0.9374,[[73413 7933] [ 574 132]],0.9509,0.931,0.9509,0.9374,[[6096087 44479 7739] [ 234254 28934 194] [ 29238 574 132]],Local Win,Local Win,Local Win,Local Win,GitHub Win,Local Win,GitHub Win,GitHub Win,Local Win,Local Win,Local Win,Local Win,GitHub Win,GitHub Win
