Comparison,Stage 1 Model,Stage 2 Model,level_2,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix,Test Dataset,level_1,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),Feature Count,Features
Classification Results,Gradient Boosting,KNN (k=5),other,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],1.95151,0.9972,0.9973,0.9972,0.9972,[[213016 662] [ 11 25301]],0.9901,0.9901,0.9901,0.9897,[[6143726 3936 643] [ 54283 209080 19] [ 4632 11 25301]],,,,,,,,
Classification Results,Gradient Boosting,Logistic Regression,self,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],5.62254,0.9184,0.9109,0.9184,0.9134,[[250274 8217] [ 15319 14484]],0.9948,0.9944,0.9948,0.9945,[[6145437 2377 491] [ 7759 247897 7726] [ 141 15319 14484]],,,,,,,,
Classification Results,Gradient Boosting,Logistic Regression,other,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],3.22892,0.9283,0.9242,0.9283,0.9258,[[206931 6747] [ 10400 14912]],0.9876,0.9868,0.9876,0.9868,[[6143726 3669 910] [ 54283 203262 5837] [ 4632 10400 14912]],,,,,,,,
Classification Results,Gradient Boosting,Naive Bayes,self,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],0.15448,0.351,0.9049,0.351,0.4142,[[ 71853 186638] [ 463 29340]],0.9695,0.9938,0.9695,0.972,[[6145437 1161 1707] [ 7759 70692 184931] [ 141 463 29340]],,,,,,,,
Classification Results,Gradient Boosting,Naive Bayes,other,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],0.15545,0.3713,0.9066,0.3713,0.4365,[[ 63624 150054] [ 192 25120]],0.9674,0.9863,0.9674,0.9664,[[6143726 803 3776] [ 54283 62821 146278] [ 4632 192 25120]],,,,,,,,
Classification Results,Gradient Boosting,Random Forest (Gini),self,2932.70382,0.9983,0.9983,0.9983,0.9983,[[6145437 2868] [ 7900 285426]],27.35359,1.0,1.0,1.0,1.0,[[258483 8] [ 0 29803]],0.9983,0.9983,0.9983,0.9983,[[6145437 2862 6] [ 7759 255621 2] [ 141 0 29803]],,,,,,,,
Classification Results,Gradient Boosting,Random Forest (Gini),other,2777.48179,0.9901,0.9901,0.9901,0.9897,[[6143726 4579] [ 58915 234411]],29.96604,0.9996,0.9996,0.9996,0.9996,[[213573 105] [ 2 25310]],0.9901,0.9901,0.9901,0.9897,[[6143726 4477 102] [ 54283 209096 3] [ 4632 2 25310]],,,,,,,,
Classification Results,KNN (k=5),Decision Tree (Gini),self,81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],1.38174,0.9996,0.9996,0.9996,0.9996,[[266638 127] [ 0 29256]],0.9965,0.9966,0.9965,0.9965,[[6135797 12383 125] [ 9125 254255 2] [ 688 0 29256]],,,,,,,,
Classification Results,KNN (k=5),Decision Tree (Gini),other,76.05623,0.9959,0.9959,0.9959,0.9959,[[6133048 15257] [ 11444 281882]],1.81694,0.9993,0.9993,0.9993,0.9993,[[267954 206] [ 6 28973]],0.9959,0.9959,0.9959,0.9959,[[6133048 15054 203] [ 10479 252900 3] [ 965 6 28973]],,,,,,,,
Classification Results,KNN (k=5),Gradient Boosting,self,81.23543,0.9965,0.9966,0.9965,0.9965,[[6135797 12508] [ 9813 283513]],68.32909,0.9998,0.9998,0.9998,0.9998,[[266708 57] [ 4 29252]],0.9965,0.9966,0.9965,0.9965,[[6135797 12456 52] [ 9125 254252 5] [ 688 4 29252]],,,,,,,,
