Comparison,Stage 1 Model,Stage 2 Model,level_2,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix,Test Dataset,level_1,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),Feature Count,Features
Final Test Results,,,,,,,,,[[626765 3] [ 0 6900]],,,,,,[[6303 0] [ 0 600]],,,,,[[626765 3 0] [ 0 6300 0] [ 0 0 600]],test_1.csv,self,1753.36575,3.67981,26.25091,0.03273,,
Final Test Results,,,,,,,,,[[626766 2] [ 0 6900]],,,,,,[[6302 0] [ 0 600]],,,,,[[626766 2 0] [ 0 6300 0] [ 0 0 600]],test_1.csv,other,1929.81008,3.66178,29.56998,0.03092,,
Final Test Results,,,,,,,,,[[1424747 1] [ 0 43800]],,,,,,[[42001 0] [ 0 1800]],,,,,[[1424747 1 0] [ 0 42000 0] [ 0 0 1800]],test_1.csv,self,1753.36575,6.68519,25.59761,0.15554,,
Final Test Results,,,,,,,,,[[1424745 3] [ 0 43800]],,,,,,[[42003 0] [ 0 1800]],,,,,[[1424745 3 0] [ 0 42000 0] [ 0 0 1800]],test_1.csv,other,1929.81008,6.77669,29.59688,0.12519,,
Final Test Results,,,,,,,,,[[565544 0] [ 0 12002]],,,,,,[[9974 0] [ 0 2028]],,,,,[[565544 0 0] [ 0 9974 0] [ 0 0 2028]],test_13.csv,self,1753.36575,3.33421,26.12505,0.04338,,
Final Test Results,,,,,,,,,[[565538 6] [ 11 11991]],,,,,,[[9976 0] [ 0 2021]],,,,,[[565538 6 0] [ 4 9970 0] [ 7 0 2021]],test_13.csv,other,1929.81008,3.95742,29.16952,0.04655,,
Final Test Results,,,,,,,,,[[557247 0] [ 0 5700]],,,,,,[[5100 0] [ 0 600]],,,,,[[557247 0 0] [ 0 5100 0] [ 0 0 600]],test_13.csv,self,1753.36575,3.30369,25.70106,0.02393,,
Final Test Results,,,,,,,,,[[557247 0] [ 7 5693]],,,,,,[[5093 0] [ 0 600]],,,,,[[557247 0 0] [ 7 5093 0] [ 0 0 600]],test_13.csv,other,1929.81008,3.7159,28.99171,0.02694,,
Final Test Results,,,,,,,,,[[536154 1] [ 3 6280]],,,,,,[[4628 0] [ 0 1653]],,,,,[[536154 1 0] [ 3 4627 0] [ 0 0 1653]],test_2.csv,self,1753.36575,3.04536,25.92982,0.02534,,
Final Test Results,,,,,,,,,[[536154 1] [ 10 6273]],,,,,,[[4624 0] [ 0 1650]],,,,,[[536154 1 0] [ 7 4623 0] [ 3 0 1650]],test_2.csv,other,1929.81008,3.1844,28.93107,0.02621,,
Final Test Results,,,,,,,,,[[432355 0] [ 0 7200]],,,,,,[[6600 0] [ 0 600]],,,,,[[432355 0 0] [ 0 6600 0] [ 0 0 600]],test_2.csv,self,1753.36575,2.46657,25.44445,0.02608,,
Final Test Results,,,,,,,,,[[432355 0] [ 4 7196]],,,,,,[[6597 0] [ 0 599]],,,,,[[432355 0 0] [ 3 6597 0] [ 1 0 599]],test_2.csv,other,1929.81008,2.71644,29.40005,0.03216,,
Final Test Results,,,,,,,,,[[1690239 1] [ 1 109199]],,,,,,[[101700 0] [ 0 7500]],,,,,[[1690239 1 0] [ 1 101699 0] [ 0 0 7500]],test_2.csv,self,1753.36575,8.61386,25.61802,0.43152,,
Final Test Results,,,,,,,,,[[1690235 5] [ 0 109200]],,,,,,[[101705 0] [ 0 7500]],,,,,[[1690235 5 0] [ 0 101700 0] [ 0 0 7500]],test_2.csv,other,1929.81008,7.50492,29.41922,0.37755,,
Final Test Results,,,,,,,,,[[1077537 1] [ 1 88199]],,,,,,[[81300 0] [ 0 6900]],,,,,[[1077537 1 0] [ 1 81299 0] [ 0 0 6900]],test_3.csv,self,1753.36575,5.54485,25.88871,0.36156,,
Final Test Results,,,,,,,,,[[1077528 10] [ 8 88192]],,,,,,[[81301 2] [ 0 6899]],,,,,[[1077528 8 2] [ 7 81293 0] [ 1 0 6899]],test_3.csv,other,1929.81008,7.49428,30.79672,0.38786,,
Final Test Results,,,,,1.0,1.0,1.0,1.0,[[38680 0] [ 0 271]],,1.0,1.0,1.0,1.0,[[259 0] [ 0 12]],1.0,1.0,1.0,1.0,[[38680 0 0] [ 0 259 0] [ 0 0 12]],test_5.csv,self,1753.36575,0.21625,25.97587,0.00336,,
Final Test Results,,,,,0.9999,0.9999,0.9999,0.9999,[[38679 1] [ 1 270]],,0.9963,0.9966,0.9963,0.9964,[[259 1] [ 0 11]],0.9999,0.9999,0.9999,0.9999,[[38679 0 1] [ 0 259 0] [ 1 0 11]],test_5.csv,other,1929.81008,0.14164,29.00932,0.00316,,
Final Test Results,,,,,,,,,,,,,,,,,,,,,test_5.csv,self,1753.36575,0.18361,26.27507,0.02473,,
Final Test Results,,,,,,,,,,,,,,,,,,,,,test_5.csv,other,1929.81008,0.08991,29.02942,0.01927,,
Final Test Results,,,,,1.0,1.0,1.0,1.0,[[570753 4] [ 11 55486]],,,,,,[[42853 0] [ 0 12637]],1.0,1.0,1.0,1.0,[[570753 4 0] [ 11 42849 0] [ 0 0 12637]],test_9.csv,self,1753.36575,3.86874,26.6003,0.19984,,
Final Test Results,,,,,0.9999,0.9999,0.9999,0.9999,[[570737 20] [ 22 55475]],,,,,,[[42857 1] [ 0 12637]],0.9999,0.9999,0.9999,0.9999,[[570737 19 1] [ 22 42838 0] [ 0 0 12637]],test_9.csv,other,1929.81008,4.1684,29.34337,0.18948,,
Final Test Results,,,,,,,,,[[405989 3] [ 0 66000]],,,,,,[[60603 0] [ 0 5400]],,,,,[[405989 3 0] [ 0 60600 0] [ 0 0 5400]],test_9.csv,self,1753.36575,3.06096,26.02628,0.31454,,
Final Test Results,,,,,,,,,[[405985 7] [ 0 66000]],,,,,,[[60606 1] [ 0 5400]],,,,,[[405985 6 1] [ 0 60600 0] [ 0 0 5400]],test_9.csv,other,1929.81008,2.95171,29.16154,0.26093,,
Feature N Results,,,,,,,,,[[6148255 50] [ 0 293326]],,0.8979,0.8063,0.8979,0.8496,[[263432 0] [ 29944 0]],,0.9912,,,[[6148255 50 0] [ 0 263382 0] [ 0 29944 0]],,self,1236.34169,22.41918,9.80697,1.06361,2.0,
Feature N Results,,,,,,,,,[[6148000 305] [ 0 293326]],,0.898,0.8064,0.898,0.8498,[[263687 0] [ 29944 0]],,0.9911,,,[[6148000 305 0] [ 0 263382 0] [ 0 29944 0]],,other,3437.34406,34.42989,30.06039,1.64937,2.0,
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148274 31] [ 13 293313]],,0.9178,0.9094,0.9178,0.9121,[[255312 8091] [ 16033 13908]],0.9962,0.9959,0.9962,0.996,[[6148274 30 1] [ 10 255282 8090] [ 3 16033 13908]],,self,1420.62788,35.95722,40.5018,4.03878,3.0,
Feature N Results,,,,,0.9998,0.9998,0.9998,0.9998,[[6148034 271] [ 1326 292000]],,0.9177,0.911,0.9177,0.9135,[[253595 9034] [ 15034 14608]],0.996,0.9957,0.996,0.9958,[[6148034 207 64] [ 1024 253388 8970] [ 302 15034 14608]],,other,3302.00518,59.66542,81.83318,5.66547,3.0,
Feature N Results,,,,,,,,,[[6148280 25] [ 3 293323]],,,,,,[[263402 2] [ 0 29944]],,,,,[[6148280 24 1] [ 3 263378 1] [ 0 0 29944]],,self,1236.64455,38.70843,17.70596,1.38026,4.0,"Dport, SrcAddr, Sport, Label"
Feature N Results,,,,,,,,,[[6148254 51] [ 58 293268]],,,,,,[[263376 12] [ 2 29929]],,,,,[[6148254 39 12] [ 45 263337 0] [ 13 2 29929]],,other,2558.72659,57.43048,46.52028,2.14356,4.0,"SrcAddr, Dport, Sport, Label"
Feature N Results,,,,,,,,,[[6148281 24] [ 6 293320]],,,,,,[[263402 0] [ 0 29942]],,,,,[[6148281 24 0] [ 4 263378 0] [ 2 0 29942]],,self,1638.89507,35.11601,23.20581,1.03343,5.0,"Dport, SrcAddr, Sport, DstAddr, Label"
Feature N Results,,,,,,,,,[[6148268 37] [ 54 293272]],,,,,,[[263390 2] [ 3 29914]],,,,,[[6148268 37 0] [ 27 263353 2] [ 27 3 29914]],,other,3462.64909,53.89781,65.6913,1.7825,5.0,"DstAddr, SrcAddr, Dport, Sport, Label"
Feature N Results,,,,,,,,,[[6148285 20] [ 17 293309]],,1.0,1.0,1.0,1.0,[[263386 2] [ 0 29941]],,,,,[[6148285 18 2] [ 14 263368 0] [ 3 0 29941]],,self,1704.76958,39.07212,25.52262,1.09673,6.0,"Dport, SrcBytes, SrcAddr, Sport, DstAddr, Label"
Feature N Results,,,,,,,,,[[6148268 37] [ 112 293214]],,0.9999,0.9999,0.9999,0.9999,[[263322 12] [ 5 29912]],,,,,[[6148268 28 9] [ 85 263294 3] [ 27 5 29912]],,other,3407.33708,58.53987,70.43759,1.85147,6.0,"SrcBytes, DstAddr, SrcAddr, Dport, Sport, Label"
Feature N Results,,,,,,,,,[[6148287 18] [ 37 293289]],,1.0,1.0,1.0,1.0,[[263362 2] [ 0 29943]],,,,,[[6148287 17 1] [ 36 263345 1] [ 1 0 29943]],,self,1857.47481,43.03154,26.6678,1.16844,7.0,"Dport, SrcBytes, SrcAddr, TotBytes, Sport, DstAddr, Label"
Feature N Results,,,,,,,,,[[6148247 58] [ 207 293119]],,0.9999,0.9999,0.9999,0.9999,[[263243 12] [ 6 29916]],,,,,[[6148247 49 9] [ 185 263194 3] [ 22 6 29916]],,other,3523.22405,62.70109,68.20274,1.77203,7.0,"TotBytes, SrcBytes, DstAddr, SrcAddr, Dport, Sport, Label"
Feature N Results,,,,,,,,,[[6148284 21] [ 48 293278]],,,,,,[[263353 2] [ 0 29944]],,,,,[[6148284 20 1] [ 48 263333 1] [ 0 0 29944]],,self,1690.58567,43.20278,26.04224,1.21213,8.0,"Dport, SrcBytes, SrcAddr, TotBytes, State, Sport, DstAddr, Label"
Feature N Results,,,,,,,,,[[6148268 37] [ 234 293092]],,,,,,[[263195 8] [ 6 29920]],,,,,[[6148268 31 6] [ 216 263164 2] [ 18 6 29920]],,other,3289.90718,63.06714,64.672,1.81699,8.0,"TotBytes, State, SrcBytes, DstAddr, SrcAddr, Dport, Sport, Label"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148284 21] [ 117 293209]],,,,,,[[263285 2] [ 0 29943]],1.0,1.0,1.0,1.0,[[6148284 20 1] [ 116 263265 1] [ 1 0 29943]],,self,1872.16864,44.16986,27.98719,1.24685,9.0,"Dport, SrcBytes, SrcAddr, TotBytes, State, Dur, Sport, DstAddr, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148263 42] [ 363 292963]],,,,,,[[263072 9] [ 5 29919]],0.9999,0.9999,0.9999,0.9999,[[6148263 35 7] [ 343 263037 2] [ 20 5 29919]],,other,3577.45266,66.26511,69.07983,1.80803,9.0,"TotBytes, Dur, State, SrcBytes, DstAddr, SrcAddr, Dport, Sport, Label"
Feature N Results,,,,,,,,,[[6148287 18] [ 80 293246]],,,,,,[[263317 3] [ 0 29944]],,,,,[[6148287 17 1] [ 80 263300 2] [ 0 0 29944]],,self,2402.79762,43.39537,34.04438,1.128,10.0,"Dport, SrcBytes, SrcAddr, tcp, TotBytes, State, Dur, Sport, DstAddr, Label"
Feature N Results,,,,,,,,,[[6148256 49] [ 265 293061]],,,,,,[[263173 9] [ 2 29926]],,,,,[[6148256 41 8] [ 249 263132 1] [ 16 2 29926]],,other,4523.40617,62.43604,81.9375,1.6826,10.0,"TotBytes, Dur, State, SrcBytes, DstAddr, tcp, SrcAddr, Dport, Sport, Label"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148286 19] [ 95 293231]],,,,,,[[263303 3] [ 0 29944]],1.0,1.0,1.0,1.0,[[6148286 18 1] [ 95 263285 2] [ 0 0 29944]],,self,2349.33078,45.54329,32.34734,1.1382,11.0,"Dport, SrcBytes, SrcAddr, TotPkts, tcp, TotBytes, State, Dur, Sport, DstAddr, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148254 51] [ 354 292972]],,,,,,[[263080 12] [ 2 29929]],0.9999,0.9999,0.9999,0.9999,[[6148254 41 10] [ 341 263039 2] [ 13 2 29929]],,other,4310.51989,64.17902,77.03421,1.58914,11.0,"TotBytes, Dur, State, SrcBytes, DstAddr, tcp, SrcAddr, Dport, Sport, TotPkts, Label"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148291 14] [ 101 293225]],,,,,,[[263292 3] [ 0 29944]],1.0,1.0,1.0,1.0,[[6148291 13 1] [ 101 263279 2] [ 0 0 29944]],,self,2187.31128,45.91103,31.2888,1.15541,12.0,"Dport, SrcBytes, SrcAddr, TotPkts, tcp, TotBytes, State, Dur, Sport, DstAddr, Dir, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148252 53] [ 354 292972]],,,,,,[[263088 11] [ 2 29924]],0.9999,0.9999,0.9999,0.9999,[[6148252 44 9] [ 336 263044 2] [ 18 2 29924]],,other,3913.87534,64.84114,72.96393,1.60407,12.0,"TotBytes, Dur, State, SrcBytes, DstAddr, tcp, SrcAddr, Dport, Sport, TotPkts, Label, Dir"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148286 19] [ 112 293214]],,,,,,[[263287 3] [ 0 29943]],1.0,1.0,1.0,1.0,[[6148286 18 1] [ 111 263269 2] [ 1 0 29943]],,self,2096.24358,46.18095,29.86835,1.16668,13.0,"Dport, SrcBytes, SrcAddr, TotPkts, tcp, TotBytes, State, Dur, Sport, udp, DstAddr, Dir, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 397 292929]],,,,,,[[263044 12] [ 1 29924]],0.9999,0.9999,0.9999,0.9999,[[6148253 42 10] [ 378 263002 2] [ 19 1 29924]],,other,3771.44775,67.27981,71.59229,1.69534,13.0,"TotBytes, Dur, State, udp, SrcBytes, DstAddr, tcp, SrcAddr, Dport, Sport, TotPkts, Label, Dir"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148286 19] [ 141 293185]],,,,,,[[263258 3] [ 0 29943]],1.0,1.0,1.0,1.0,[[6148286 18 1] [ 140 263240 2] [ 1 0 29943]],,self,1988.49412,47.80463,28.36674,1.19431,14.0,"Dport, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, Dur, Sport, udp, DstAddr, Dir, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148256 49] [ 446 292880]],,,,,,[[262994 10] [ 2 29923]],0.9999,0.9999,0.9999,0.9999,[[6148256 40 9] [ 427 262954 1] [ 19 2 29923]],,other,3589.59722,69.29788,68.1504,1.74404,14.0,"TotBytes, Dur, State, udp, SrcBytes, DstAddr, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148288 17] [ 143 293183]],,,,,,[[263254 3] [ 0 29943]],1.0,1.0,1.0,1.0,[[6148288 16 1] [ 142 263238 2] [ 1 0 29943]],,self,1945.70199,49.43664,27.21615,1.2266,15.0,"Dport, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, Dur, Sport, udp, icmp, DstAddr, Dir, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148247 58] [ 500 292826]],,,,,,[[262946 13] [ 1 29924]],0.9999,0.9999,0.9999,0.9999,[[6148247 46 12] [ 481 262900 1] [ 19 1 29924]],,other,3468.60299,71.06091,66.7647,1.77569,15.0,"TotBytes, Dur, State, udp, SrcBytes, DstAddr, icmp, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148286 19] [ 152 293174]],,1.0,1.0,1.0,1.0,[[263248 3] [ 0 29942]],1.0,1.0,1.0,1.0,[[6148286 18 1] [ 150 263230 2] [ 2 0 29942]],,self,1891.26092,49.31666,27.05906,1.26564,16.0,"Dport, igmp, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, Dur, Sport, udp, icmp, DstAddr, Dir, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148251 54] [ 483 292843]],,0.9999,0.9999,0.9999,0.9999,[[262959 13] [ 2 29923]],0.9999,0.9999,0.9999,0.9999,[[6148251 44 10] [ 464 262915 3] [ 19 2 29923]],,other,3303.49531,71.17834,62.08921,1.77869,16.0,"TotBytes, Dur, State, udp, SrcBytes, DstAddr, icmp, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir, igmp"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148283 22] [ 138 293188]],,,,,,[[263264 3] [ 0 29943]],1.0,1.0,1.0,1.0,[[6148283 21 1] [ 137 263243 2] [ 1 0 29943]],,self,2225.20959,47.28531,32.67449,1.24396,17.0,"Dport, igmp, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, Dur, Sport, udp, icmp, DstAddr, rtcp, Dir, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148254 51] [ 395 292931]],,,,,,[[263043 13] [ 1 29925]],0.9999,0.9999,0.9999,0.9999,[[6148254 39 12] [ 377 263004 1] [ 18 1 29925]],,other,3964.98516,67.71634,72.54381,1.71447,17.0,"TotBytes, Dur, State, udp, SrcBytes, DstAddr, icmp, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir, igmp, rtcp"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148289 16] [ 118 293208]],,,,,,[[263279 3] [ 0 29942]],1.0,1.0,1.0,1.0,[[6148289 15 1] [ 116 263264 2] [ 2 0 29942]],,self,3568.19875,56.74831,56.57935,1.40004,18.0,"Dport, igmp, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, Dur, Sport, udp, icmp, DstAddr, ipx/spx, rtcp, Dir, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148262 43] [ 413 292913]],,,,,,[[263021 11] [ 2 29922]],0.9999,0.9999,0.9999,0.9999,[[6148262 34 9] [ 393 262987 2] [ 20 2 29922]],,other,3764.90865,69.12225,68.16907,1.77743,18.0,"TotBytes, Dur, State, udp, SrcBytes, DstAddr, icmp, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir, igmp, rtcp, ipx/spx"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148290 15] [ 131 293195]],,,,,,[[263264 3] [ 0 29943]],1.0,1.0,1.0,1.0,[[6148290 14 1] [ 130 263250 2] [ 1 0 29943]],,self,2823.56209,49.48161,30.6759,1.21937,19.0,"Dport, igmp, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, udp, icmp, DstAddr, ipx/spx, rtcp, Dir, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148255 50] [ 460 292866]],,,,,,[[262979 12] [ 2 29923]],0.9999,0.9999,0.9999,0.9999,[[6148255 40 10] [ 441 262939 2] [ 19 2 29923]],,other,3676.31473,69.6838,67.28902,1.72566,19.0,"TotBytes, Dur, State, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir, igmp, rtcp, ipx/spx"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148291 14] [ 142 293184]],,,,,,[[263254 3] [ 0 29941]],1.0,1.0,1.0,1.0,[[6148291 13 1] [ 139 263241 2] [ 3 0 29941]],,self,2083.25163,50.93619,28.11428,1.22655,20.0,"Dport, igmp, SrcBytes, SrcAddr, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, udp, icmp, DstAddr, ipx/spx, arp, rtcp, Dir, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148249 56] [ 470 292856]],,,,,,[[262974 11] [ 1 29926]],0.9999,0.9999,0.9999,0.9999,[[6148249 46 10] [ 453 262928 1] [ 17 1 29926]],,other,3593.40302,71.77711,65.7145,1.72922,20.0,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, Sport, rtp, TotPkts, Label, Dir, igmp, rtcp, ipx/spx"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148288 17] [ 158 293168]],,1.0,1.0,1.0,1.0,[[263241 3] [ 0 29941]],1.0,1.0,1.0,1.0,[[6148288 16 1] [ 155 263225 2] [ 3 0 29941]],,self,1922.40274,57.96,53.70621,1.54572,21.0,"Dport, igmp, SrcBytes, SrcAddr, pim, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, udp, icmp, DstAddr, ipx/spx, arp, rtcp, Dir, Label"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148248 57] [ 506 292820]],,0.9999,0.9999,0.9999,0.9999,[[262939 13] [ 2 29923]],0.9999,0.9999,0.9999,0.9999,[[6148248 46 11] [ 487 262893 2] [ 19 2 29923]],,other,3461.09684,72.0686,62.3791,1.74984,21.0,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, Sport, rtp, pim, TotPkts, Label, Dir, igmp, rtcp, ipx/spx"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148286 19] [ 158 293168]],,,,,,[[263240 4] [ 0 29943]],1.0,1.0,1.0,1.0,[[6148286 18 1] [ 157 263222 3] [ 1 0 29943]],,self,1889.34739,50.02448,27.36113,1.28236,22.0,"Dport, igmp, SrcBytes, SrcAddr, pim, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, udp, icmp, DstAddr, ipx/spx, arp, rtcp, Dir, Label, rarp"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148250 55] [ 549 292777]],,,,,,[[262899 12] [ 2 29919]],0.9999,0.9999,0.9999,0.9999,[[6148250 45 10] [ 526 262854 2] [ 23 2 29919]],,other,3239.40721,72.16941,60.96201,1.72227,22.0,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, Sport, rtp, pim, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148285 20] [ 154 293172]],,,,,,[[263246 3] [ 0 29943]],1.0,1.0,1.0,1.0,[[6148285 19 1] [ 153 263227 2] [ 1 0 29943]],,self,1902.83231,51.92658,27.18244,1.27934,23.0,"Dport, igmp, SrcBytes, SrcAddr, pim, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148260 45] [ 551 292775]],,,,,,[[262885 11] [ 2 29922]],0.9999,0.9999,0.9999,0.9999,[[6148260 35 10] [ 531 262850 1] [ 20 2 29922]],,other,1880.98786,55.12322,30.18212,1.32393,23.0,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, rtp, pim, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148278 27] [ 189 293137]],,,,,,[[263219 3] [ 0 29942]],1.0,1.0,1.0,1.0,[[6148278 26 1] [ 187 263193 2] [ 2 0 29942]],,self,1842.95481,51.19977,27.387,1.30635,24.0,"Dport, igmp, SrcBytes, SrcAddr, pim, TotPkts, tcp, rtp, TotBytes, State, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148247 58] [ 555 292771]],,,,,,[[262892 12] [ 2 29923]],0.9999,0.9999,0.9999,0.9999,[[6148247 48 10] [ 536 262844 2] [ 19 2 29923]],,other,1875.34041,55.65528,30.04682,1.33708,24.0,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, ipv6, rtp, pim, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148277 28] [ 193 293133]],,,,,,[[263215 4] [ 0 29942]],1.0,1.0,1.0,1.0,[[6148277 27 1] [ 191 263188 3] [ 2 0 29942]],,self,1821.22253,51.97542,25.98286,1.29424,25.0,"Dport, igmp, SrcBytes, SrcAddr, pim, TotPkts, tcp, rtp, TotBytes, State, llc, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148258 47] [ 576 292750]],,,,,,[[262863 11] [ 3 29920]],0.9999,0.9999,0.9999,0.9999,[[6148258 38 9] [ 555 262825 2] [ 21 3 29920]],,other,1804.11898,55.87042,29.23936,1.36214,25.0,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, llc, ipv6, rtp, pim, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148284 21] [ 158 293168]],,1.0,1.0,1.0,1.0,[[263246 3] [ 0 29940]],1.0,1.0,1.0,1.0,[[6148284 20 1] [ 154 263226 2] [ 4 0 29940]],,self,2026.74795,50.2766,27.57519,1.25682,26.0,"Dport, igmp, SrcBytes, SrcAddr, gre, pim, TotPkts, tcp, rtp, TotBytes, State, llc, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148255 50] [ 504 292822]],,0.9999,0.9999,0.9999,0.9999,[[262934 14] [ 1 29923]],0.9999,0.9999,0.9999,0.9999,[[6148255 38 12] [ 484 262896 2] [ 20 1 29923]],,other,2045.32635,53.86386,32.70717,1.31191,26.0,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, llc, ipv6, rtp, pim, gre, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp"
Feature N Results,,,,,1.0,1.0,1.0,1.0,[[6148287 18] [ 132 293194]],,,,,,[[263267 3] [ 0 29942]],1.0,1.0,1.0,1.0,[[6148287 17 1] [ 130 263250 2] [ 2 0 29942]],,self,1957.39977,50.24001,28.32078,1.26418,27.0,"Dport, igmp, SrcBytes, SrcAddr, unas, gre, pim, TotPkts, tcp, rtp, TotBytes, State, llc, ipv6-icmp, Dur, Sport, ipv6, udp, icmp, DstAddr, ipx/spx, arp, esp, rtcp, Dir, Label, rarp"
Feature N Results,,,,,0.9999,0.9999,0.9999,0.9999,[[6148245 60] [ 555 292771]],,,,,,[[262898 11] [ 1 29921]],0.9999,0.9999,0.9999,0.9999,[[6148245 50 10] [ 533 262848 1] [ 22 1 29921]],,other,2016.46768,55.42713,31.72145,1.33696,27.0,"TotBytes, Dur, State, arp, udp, SrcBytes, DstAddr, ipv6-icmp, icmp, tcp, SrcAddr, Dport, esp, Sport, llc, ipv6, rtp, pim, gre, unas, TotPkts, Label, Dir, igmp, rtcp, ipx/spx, rarp"
